Model,Steps,BestMeanReward
dqn,40000,2.6
dqn,80000,3.6
dqn,120000,7.0
dqn,160000,11.6
dqn,240000,12.6
dqn,280000,13.2
dqn,400000,16.2
dqn,520000,17.0
dqn,600000,17.4
dqn,640000,19.0
dqn,680000,19.4
dqn,720000,20.8
dqn,760000,22.0
dqn,840000,23.6
dqn,920000,25.0
dqn,1000000,27.0
dqn,1160000,30.8
dqn,1240000,32.0
dqn,1320000,32.8
dqn,1360000,33.4
dqn,1520000,36.0
dqn,1800000,37.2
dqn,1880000,38.0
dqn,2000000,39.0
dqn,2280000,42.4
dqn,3040000,47.8
dqn,3120000,61.2
