time/time_elapsed,rollout/exploration_rate,time/total_timesteps,time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/learning_rate,train/loss
0,0.9995439999999995,192,4,494,,,,,,,
0,0.9993920000000005,256,8,511,,,,,,,
0,0.9991640000000002,352,12,515,7.0,388.0,,,,,
0,0.9988030000000004,504,16,518,8.0,465.6666666666667,,,,,
1,0.9984894999999998,636,20,518,8.25,496.0,,,,,
1,0.9983185000000001,708,24,523,8.25,496.0,,,,,
1,0.997986,848,28,531,8.25,496.0,,,,,
1,0.9976819999999998,976,32,522,8.375,490.0,,,,,
2,0.9974254999999999,1084,36,526,8.375,490.0,,,,,
2,0.997321,1128,40,527,8.375,490.0,,,,,
2,0.9969409999999996,1288,44,524,8.0,466.6,,,,,
2,0.9965230000000003,1464,48,525,8.090909090909092,468.54545454545456,,,,,
2,0.9963425000000004,1540,52,524,8.083333333333334,478.25,,,,,
3,0.9962474999999997,1580,56,525,8.083333333333334,478.25,,,,,
3,0.9959244999999999,1716,60,526,7.857142857142857,473.57142857142856,,,,,
3,0.9956490000000005,1832,64,527,7.866666666666666,474.6,,,,,
3,0.9954590000000002,1912,68,529,7.866666666666666,474.6,,,,,
3,0.9952500000000005,2000,72,527,7.75,468.0,,,,,
4,0.9949269999999997,2136,76,526,7.631578947368421,459.7894736842105,,,,,
4,0.9947749999999995,2200,80,526,7.631578947368421,459.7894736842105,,,,,
4,0.9945850000000004,2280,84,527,7.631578947368421,459.7894736842105,,,,,
4,0.9942999999999995,2400,88,528,7.65,455.25,,,,,
4,0.9940529999999999,2504,92,527,7.739130434782608,449.60869565217394,,,,,
4,0.9938345,2596,96,527,7.739130434782608,449.60869565217394,,,,,
5,0.9935399999999999,2720,100,529,7.739130434782608,449.60869565217394,,,,,
5,0.9934070000000003,2776,104,529,7.68,446.52,,,,,
5,0.9930554999999996,2924,108,529,7.68,446.52,,,,,
5,0.9928085,3028,112,529,7.814814814814815,452.8888888888889,,,,,
6,0.9924284999999996,3188,116,530,7.814814814814815,452.8888888888889,,,,,
6,0.9922385000000005,3268,120,529,7.758620689655173,457.3448275862069,,,,,
6,0.9919154999999995,3404,124,531,7.758620689655173,457.3448275862069,,,,,
6,0.9916780000000002,3504,128,531,7.806451612903226,458.2258064516129,,,,,
6,0.9912599999999997,3680,132,533,7.84375,457.96875,,,,,
7,0.991051,3768,136,533,7.878787878787879,458.3030303030303,,,,,
7,0.9909085000000002,3828,140,533,7.878787878787879,458.3030303030303,,,,,
7,0.9907280000000003,3904,144,533,7.823529411764706,457.79411764705884,,,,,
7,0.9903670000000004,4056,148,533,7.742857142857143,460.22857142857146,,,,,
7,0.9901674999999999,4140,152,533,7.8108108108108105,458.86486486486484,,,,,
8,0.9897874999999996,4300,156,533,7.815789473684211,459.5,,,,,
8,0.9895784999999999,4388,160,534,7.815789473684211,459.5,,,,,
8,0.9893504999999996,4484,164,533,7.7,457.575,,,,,
8,0.9891130000000002,4584,168,533,7.658536585365853,453.8536585365854,,,,,
8,0.9888660000000005,4688,172,533,7.666666666666667,457.45238095238096,,,,,
8,0.9886095000000005,4796,176,533,7.666666666666667,457.45238095238096,,,,,
9,0.9883624999999997,4900,180,534,7.651162790697675,457.69767441860466,,,,,
9,0.9880965000000005,5012,184,533,7.733333333333333,457.2,,,,,
9,0.9878400000000005,5120,188,534,7.733333333333333,457.2,,,,,
9,0.9876974999999996,5180,192,533,7.717391304347826,457.45652173913044,,,,,
9,0.9874980000000002,5264,196,533,7.680851063829787,455.8936170212766,,,,,
10,0.98727,5360,200,533,7.653061224489796,453.265306122449,,,,,
10,0.9870230000000002,5464,204,533,7.653061224489796,453.265306122449,,,,,
10,0.986871,5528,208,533,7.6,451.74,,,,,
10,0.9864815000000005,5692,212,532,7.615384615384615,449.4807692307692,,,,,
10,0.9863009999999994,5768,216,532,7.60377358490566,449.37735849056605,,,,,
11,0.9860635,5868,220,533,7.60377358490566,449.37735849056605,,,,,
11,0.9859305000000005,5924,224,532,7.62962962962963,449.51851851851853,,,,,
11,0.9856454999999996,6044,228,532,7.607142857142857,447.94642857142856,,,,,
11,0.9854269999999997,6136,232,532,7.614035087719298,446.89473684210526,,,,,
11,0.9853035000000003,6188,236,531,7.614035087719298,446.89473684210526,,,,,
11,0.985142,6256,240,531,7.603448275862069,445.55172413793105,,,,,
12,0.9848379999999997,6384,244,531,7.55,441.51666666666665,,,,,
12,0.9844960000000004,6528,248,531,7.540983606557377,441.5081967213115,,,,,
12,0.9843535000000004,6588,252,531,7.540983606557377,441.5081967213115,,,,,
12,0.9842109999999995,6648,256,531,7.540983606557377,441.5081967213115,,,,,
12,0.9838025000000004,6820,260,530,7.453125,440.9375,,,,,
13,0.9835649999999999,6920,264,530,7.430769230769231,440.24615384615385,,,,,
13,0.9834509999999999,6968,268,530,7.430769230769231,440.24615384615385,,,,,
13,0.9832609999999996,7048,272,530,7.409090909090909,439.45454545454544,,,,,
13,0.9827670000000002,7256,276,529,7.426470588235294,439.95588235294116,,,,,
13,0.9825200000000005,7360,280,528,7.420289855072464,442.28985507246375,,,,,
14,0.9823585,7428,284,528,7.420289855072464,442.28985507246375,,,,,
14,0.9821684999999999,7508,288,526,7.4,442.0571428571429,,,,,
14,0.9818264999999995,7652,292,525,7.388888888888889,440.81944444444446,,,,,
14,0.9815605000000003,7764,296,524,7.388888888888889,440.81944444444446,,,,,
14,0.9813420000000004,7856,300,524,7.424657534246576,441.972602739726,,,,,
15,0.9809904999999998,8004,304,524,7.426666666666667,441.44,,,,,
15,0.9808479999999998,8064,308,523,7.407894736842105,443.5394736842105,,,,,
15,0.9804680000000006,8224,312,523,7.407894736842105,443.5394736842105,,,,,
15,0.9803540000000004,8272,316,523,7.376623376623376,443.76623376623377,,,,,
16,0.9800784999999999,8388,320,523,7.329113924050633,442.62025316455697,,,,,
16,0.9798030000000004,8504,324,523,7.3125,442.475,,,,,
16,0.9795750000000002,8600,328,523,7.296296296296297,441.8024691358025,,,,,
16,0.979347,8696,332,523,7.296296296296297,441.8024691358025,,,,,
16,0.9790904999999999,8804,336,523,7.304878048780488,441.5975609756098,,,,,
17,0.9788055000000002,8924,340,523,7.309523809523809,443.0952380952381,,,,,
17,0.9786535000000001,8988,344,523,7.317647058823529,442.16470588235296,,,,,
17,0.9784539999999996,9072,348,523,7.317647058823529,442.16470588235296,,,,,
17,0.9781880000000003,9184,352,523,7.317647058823529,442.16470588235296,,,,,
17,0.9778270000000004,9336,356,523,7.303370786516854,442.3820224719101,,,,,
17,0.9776464999999995,9412,360,523,7.303370786516854,442.3820224719101,,,,,
18,0.977295,9560,364,523,7.303370786516854,442.3820224719101,,,,,
18,0.9771714999999996,9612,368,522,7.277777777777778,441.6666666666667,,,,,
18,0.9769340000000002,9712,372,522,7.282608695652174,441.9021739130435,,,,,
18,0.9766490000000004,9832,376,522,7.290322580645161,442.83870967741933,,,,,
18,0.9764210000000002,9928,380,522,7.297872340425532,441.7659574468085,,,,,
19,0.976193,10024,384,523,7.297872340425532,441.7659574468085,,,,,
19,0.9759745,10116,388,523,7.3052631578947365,441.9789473684211,,,,,
19,0.9757084999999998,10228,392,522,7.329896907216495,441.49484536082474,,,,,
19,0.9755279999999998,10304,396,522,7.326530612244898,440.83673469387753,,,,,
19,0.9752810000000001,10408,400,522,7.326530612244898,440.83673469387753,,,,,
20,0.9751574999999997,10460,404,522,7.353535353535354,440.1313131313131,,,,,
20,0.9748535000000005,10588,408,522,7.34,439.41,,,,,
20,0.9745115000000001,10732,412,522,7.37,439.7,,,,,
20,0.9741885000000003,10868,416,522,7.31,438.82,,,,,
20,0.9740840000000005,10912,420,522,7.31,438.82,,,,,
21,0.9737420000000001,11056,424,523,7.31,438.82,,,,,
21,0.9733145000000005,11236,428,523,7.32,439.72,,,,,
21,0.9730009999999999,11368,432,523,7.32,439.72,,,,,
