train/explained_variance,train/n_updates,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/policy_loss,train/value_loss,train/learning_rate,train/entropy_loss,rollout/ep_rew_mean,time/fps,eval/mean_ep_length,eval/mean_reward
0.00014275312423706055,99,8,8000,100,349.8888888888889,0.3765004277229309,0.21610169112682343,0.0007,-1.791757583618164,433.3333333333333,973,,
-0.004581451416015625,199,16,16000,200,463.3478260869565,0.041473593562841415,0.05994507297873497,0.0007,-1.7917560338974,610.4347826086956,963,,
-0.2627338171005249,299,24,24000,300,501.9230769230769,0.24322755634784698,0.1974041908979416,0.0007,-1.7917486429214478,653.0769230769231,967,,
0.12646764516830444,399,32,32000,400,518.1272727272727,0.06501622498035431,0.07990642637014389,0.0007,-1.7916806936264038,700.5454545454545,971,,
0.007111847400665283,499,41,40000,500,509.93333333333334,-0.17525461316108704,0.22700834274291992,0.0007,-1.7915878295898438,682.2666666666667,962,,
0.3122536540031433,599,50,48000,600,502.25,0.1312275528907776,0.12130725383758545,0.0007,-1.7913827896118164,654.3181818181819,959,,
0.2870784401893616,699,57,56000,700,525.5252525252525,0.17271994054317474,0.16632740199565887,0.0007,-1.7828165292739868,679.2929292929293,971,,
0.3975631594657898,799,65,64000,800,556.56,0.009325970895588398,0.06653112918138504,0.0007,-1.7864660024642944,712.4,969,,
0.7950965911149979,899,74,72000,900,572.24,-0.10927315801382065,0.021454643458127975,0.0007,-1.7746601104736328,720.1,966,,
0.31294459104537964,999,83,80000,1000,585.8,0.003749116091057658,0.054278284311294556,0.0007,-1.7586643695831299,716.2,963,,
0.8130031079053879,1099,91,88000,1100,596.82,0.03131374344229698,0.06271331757307053,0.0007,-1.759344458580017,712.9,966,,
0.7926298230886459,1199,99,96000,1200,600.62,-0.08685199171304703,0.13893219828605652,0.0007,-1.7390259504318237,724.0,966,,
0.8245761394500732,1299,107,104000,1300,614.52,0.08723943680524826,0.13654778897762299,0.0007,-1.7625709772109985,744.3,963,,
0.9207695871591568,1399,115,112000,1400,601.06,0.11935389041900635,0.09046243131160736,0.0007,-1.781775712966919,742.4,970,,
0.9400062672793865,1499,123,120000,1500,561.72,-0.050503432750701904,0.04578925669193268,0.0007,-1.7847388982772827,713.1,969,,
0.8854645639657974,1599,132,128000,1600,536.76,0.06178468093276024,0.11080944538116455,0.0007,-1.7795581817626953,699.9,966,,
0.9222552627325058,1699,140,136000,1700,526.76,0.11902938038110733,0.06908247619867325,0.0007,-1.7413066625595093,693.4,965,,
0.9858273370191455,1799,148,144000,1800,529.18,-0.14828354120254517,0.022953497245907784,0.0007,-1.749301791191101,698.7,969,,
0.9003069847822189,1899,156,152000,1900,523.18,-0.15909817814826965,0.12166931480169296,0.0007,-1.6854727268218994,695.3,968,,
0.8330564796924591,1999,,160000,,,-0.010939013212919235,0.07731851935386658,0.0007,-1.699381709098816,,,494.2,604.0
,,171,160000,2000,512.64,,,,,668.2,931,,
0.903667762875557,2099,178,168000,2100,518.48,-0.1868729442358017,0.16131506860256195,0.0007,-1.6973918676376343,668.7,939,,
0.9276246428489685,2199,187,176000,2200,517.4,0.057388920336961746,0.11058288812637329,0.0007,-1.6463396549224854,671.3,939,,
0.8529411852359772,2299,195,184000,2300,513.24,0.023859959095716476,0.17264512181282043,0.0007,-1.6444876194000244,663.3,940,,
0.9297899156808853,2399,203,192000,2400,509.82,-0.0811409205198288,0.05759647116065025,0.0007,-1.6479219198226929,657.0,942,,
0.9684855304658413,2499,211,200000,2500,510.12,-0.08254624903202057,0.02099725790321827,0.0007,-1.6680816411972046,654.5,945,,
0.8258491903543472,2599,220,208000,2600,498.22,-0.20669713616371155,0.2249102145433426,0.0007,-1.700989007949829,661.4,944,,
0.9003909975290298,2699,228,216000,2700,488.92,-0.2679102122783661,0.18250715732574463,0.0007,-1.5931487083435059,636.3,945,,
0.9641363993287086,2799,235,224000,2800,492.68,-0.04394034296274185,0.03396026790142059,0.0007,-1.6519546508789062,639.6,950,,
0.8288362622261047,2899,244,232000,2900,480.32,0.027059871703386307,0.1338677704334259,0.0007,-1.6686538457870483,638.1,950,,
0.9246367439627647,2999,253,240000,3000,473.96,-0.03169864043593407,0.051107119768857956,0.0007,-1.712336540222168,621.9,947,,
0.7313269078731537,3099,262,248000,3100,474.48,-0.018141603097319603,0.44540849328041077,0.0007,-1.5734894275665283,625.2,944,,
0.8160789310932159,3199,271,256000,3200,473.14,-0.17344972491264343,0.17708121240139008,0.0007,-1.679510474205017,618.6,941,,
0.8851603716611862,3299,280,264000,3300,472.06,0.08052883297204971,0.1175563707947731,0.0007,-1.621397614479065,622.9,939,,
0.8999417424201965,3399,289,272000,3400,485.4,0.18817923963069916,0.10770931094884872,0.0007,-1.6895641088485718,644.9,939,,
0.9367096722126007,3499,297,280000,3500,494.0,0.014708715490996838,0.046366143971681595,0.0007,-1.6988317966461182,653.1,942,,
0.8817697614431381,3599,305,288000,3600,517.32,0.04548376426100731,0.07239773124456406,0.0007,-1.6714664697647095,678.3,942,,
0.9332740753889084,3699,314,296000,3700,533.52,0.02007071115076542,0.04645045846700668,0.0007,-1.6827671527862549,693.3,941,,
0.9463382996618748,3799,322,304000,3800,553.94,0.02204468660056591,0.055333226919174194,0.0007,-1.682672142982483,699.5,942,,
0.950261615216732,3899,330,312000,3900,564.14,-0.07371056079864502,0.04612991213798523,0.0007,-1.3596850633621216,705.8,945,,
0.9309254512190819,3999,,320000,,,-0.10408943891525269,0.07297325879335403,0.0007,-1.6481297016143799,,,584.2,756.0
