time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/loss,train/value_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
,,,200000,,,0.8118937909603119,0.0003,-0.8450474624056369,-0.04457595367857721,0.073234215,0.2,0.38768310546875,0.3287312388420105,0.6745084538473748,240,774.4,40.8
833,736.17,25,204800,245,39.78,,,,,,,,,,,,
864,733.5,26,212992,246,38.96,0.8602321892976761,0.0003,-0.8398412702139467,-0.04273155716291512,0.074152976,0.2,0.3838134765625,0.10331586748361588,0.556827729800716,250,,
896,738.73,27,221184,246,39.62,0.8551436364650726,0.0003,-0.8282353253569454,-0.04445603753192699,0.071658134,0.2,0.37191162109375,0.07551558315753937,0.622766813985072,260,,
926,742.5,28,229376,247,41.14,0.8502517640590668,0.0003,-0.8091354353353382,-0.04380334161978681,0.07802038,0.2,0.3759765625,-0.012483075261116028,0.5458841999177821,270,,
957,747.22,29,237568,248,42.94,0.8703707903623581,0.0003,-0.7859988702461124,-0.04253792550516664,0.07393802,0.2,0.37269287109375,0.17107822000980377,0.5326452872948721,280,,
,,,240000,,,0.8717816919088364,0.0003,-0.785937335761264,-0.04660869155995897,0.08574429,0.2,0.379833984375,0.010668352246284485,0.5093791043269448,290,811.0,69.2
990,748.58,30,245760,248,43.2,,,,,,,,,,,,
1021,744.93,31,253952,248,45.5,0.8619939237833023,0.0003,-0.7766691864468157,-0.039631363411899656,0.077042386,0.2,0.3702392578125,0.040351323783397675,0.603835509007331,300,,
1054,739.2,32,262144,248,46.7,0.8667476624250412,0.0003,-0.7396644636057317,-0.04525172099019983,0.08301208,0.2,0.368994140625,0.1483353078365326,0.621547584712971,310,,
1085,725.18,33,270336,248,49.64,0.8576832711696625,0.0003,-0.734274205705151,-0.04689444135292433,0.09594299,0.2,0.37269287109375,0.289132297039032,0.6008392206800636,320,,
1118,720.4,34,278528,248,50.54,0.8482491374015808,0.0003,-0.7210403166245669,-0.0442396586160612,0.0937233,0.2,0.366748046875,0.12747077643871307,0.7242281505546998,330,,
,,,280000,,,0.8539007157087326,0.0003,-0.7022666246630251,-0.041877007845323534,0.08580456,0.2,0.3457275390625,0.260124534368515,0.7289240594487637,340,722.8,78.2
1152,726.16,35,286720,248,53.09,,,,,,,,,,,,
1183,734.56,36,294912,249,57.08,0.8446953892707825,0.0003,-0.7163315188139677,-0.04602070618784637,0.09222251,0.2,0.37626953125,0.12865787744522095,0.7796641669294331,350,,
1215,750.11,37,303104,249,58.26,0.8276782184839249,0.0003,-0.7093168930616229,-0.049125556457875065,0.09607669,0.2,0.38427734375,0.29848533868789673,0.6703773607267067,360,,
1246,761.58,38,311296,249,59.39,0.8270238041877747,0.0003,-0.7053001962602139,-0.050338627147721124,0.10386548,0.2,0.37584228515625,0.07405956834554672,0.8555362790706568,370,,
1277,764.47,39,319488,250,61.89,0.8309912234544754,0.0003,-0.6927791961934417,-0.04939757425818243,0.10511312,0.2,0.37464599609375,0.13488058745861053,0.7682504550321028,380,,
,,,320000,,,0.8229131102561951,0.0003,-0.6842287637293338,-0.05029604519440909,0.113257326,0.2,0.387548828125,0.15698884427547455,0.7937129536294378,390,928.4,89.4
1311,779.62,40,327680,249,64.31,,,,,,,,,,,,
1344,795.27,41,335872,249,68.53,0.7840330451726913,0.0003,-0.6681201775558293,-0.04663545846342458,0.09671372,0.2,0.36961669921875,0.24139659106731415,0.9372295245178975,400,,
1376,822.3,42,344064,249,74.0,0.8195410966873169,0.0003,-0.6415085759712383,-0.0462859928378748,0.10914536,0.2,0.36578369140625,0.11291277408599854,0.8011459527537227,410,,
1408,840.69,43,352256,250,77.21,0.8420702815055847,0.0003,-0.6226473749615252,-0.050220129209628796,0.10903704,0.2,0.36279296875,-0.0005418434739112854,0.7566351550514809,420,,
,,,360000,,,0.8370450288057327,0.0003,-0.611927030282095,-0.049066672909248155,0.11671108,0.2,0.36307373046875,0.055104635655879974,0.7536982419202104,430,894.6,90.8
1443,851.6,44,360448,249,79.08,,,,,,,,,,,,
1476,853.53,45,368640,249,75.81,0.8260914981365204,0.0003,-0.6023494067369028,-0.044909948110580446,0.10356204,0.2,0.34483642578125,0.10466040670871735,0.9617136979475618,440,,
1510,875.48,46,376832,249,75.78,0.812138706445694,0.0003,-0.6071380385430529,-0.04603014797066862,0.10898846,0.2,0.35938720703125,0.12423323839902878,1.0342074715183116,450,,
1545,900.85,47,385024,249,78.69,0.8145860135555267,0.0003,-0.63365238327533,-0.047967711829551264,0.1238522,0.2,0.37979736328125,0.04580970108509064,0.9032519105123356,460,,
