rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/clip_range,train/loss,train/clip_fraction,train/entropy_loss,train/value_loss,eval/mean_ep_length,eval/mean_reward
666.1,554,32.31,155648,19,280,180,-0.038502047111433055,0.754559338092804,0.05046218,0.0003,0.2,0.15124967694282532,0.356884765625,-0.9563402437604964,0.8275019724154845,,
,,,160000,,,190,-0.037162566988990876,0.8076106160879135,0.05117961,0.0003,0.2,0.1679677814245224,0.35029296875,-0.9277917040977627,0.6937954718945548,731.6,38.6
695.98,586,34.59,163840,20,279,,,,,,,,,,,,
692.65,614,35.01,172032,21,279,200,-0.03824103777078562,0.8015149086713791,0.052031413,0.0003,0.2,0.09630730748176575,0.35322265625,-0.9165769872721284,0.7339062113896944,,
696.82,643,35.01,180224,22,280,210,-0.038303621777595255,0.8056789189577103,0.056667857,0.0003,0.2,0.19216443598270416,0.344140625,-0.8890744875650853,0.6949471328989603,,
714.63,672,36.09,188416,23,280,220,-0.038677663115231554,0.8245043754577637,0.056327477,0.0003,0.2,0.08675523102283478,0.34715576171875,-0.8615725805517286,0.6683224648004398,,
732.43,700,36.43,196608,24,280,230,-0.040723681305462375,0.8234998434782028,0.060933877,0.0003,0.2,0.07356860488653183,0.35802001953125,-0.8625667334534228,0.5971637935261243,,
,,,200000,,,240,-0.040805959380668354,0.8430816382169724,0.06051655,0.0003,0.2,0.13240431249141693,0.3661376953125,-0.8682119553908706,0.5832513632136397,697.6,38.4
734.22,730,36.56,204800,25,280,,,,,,,,,,,,
728.56,758,37.53,212992,26,280,250,-0.04249952432801365,0.8614739775657654,0.064286396,0.0003,0.2,0.05334077775478363,0.355810546875,-0.839910824270919,0.4609171781630721,,
720.44,786,36.83,221184,27,281,260,-0.04290956578843179,0.8247561305761337,0.065569736,0.0003,0.2,0.0919153094291687,0.36044921875,-0.8313696241471916,0.6635386849637144,,
715.69,814,35.98,229376,28,281,270,-0.04327822810155339,0.8288705945014954,0.070245706,0.0003,0.2,0.12041614204645157,0.3632568359375,-0.8081687666941434,0.6695257432060316,,
738.82,845,37.78,237568,29,280,280,-0.04112171574306558,0.8370548039674759,0.07336941,0.0003,0.2,0.06876878440380096,0.3640869140625,-0.7835842560976743,0.6517926112399437,,
,,,240000,,,290,-0.04108979249285767,0.8509244471788406,0.07671634,0.0003,0.2,0.007251247763633728,0.348095703125,-0.7966315615922213,0.46814782948931677,774.4,54.8
