Model,Steps,BestMeanReward,ClockTime
a2c,160000,11.8,2023-04-21 08:22:12.878901
a2c,320000,16.2,2023-04-21 08:28:22.234985
a2c,480000,36.8,2023-04-21 08:34:15.520010
a2c,640000,41.2,2023-04-21 08:40:07.418857
a2c,960000,59.8,2023-04-21 08:51:58.771538
a2c,1440000,68.0,2023-04-21 09:09:31.080261
a2c,1920000,101.6,2023-04-21 09:27:16.123136
a2c,2080000,112.0,2023-04-21 09:33:10.125099
a2c,2720000,125.8,2023-04-21 09:56:54.292234
a2c,2880000,138.6,2023-04-21 10:02:50.360543
a2c,3200000,142.6,2023-04-21 10:14:40.787935
a2c,3360000,149.8,2023-04-21 10:20:36.460304
a2c,3520000,208.8,2023-04-21 10:26:35.136137
a2c,4160000,224.0,2023-04-21 10:50:31.945841
a2c,4640000,242.4,2023-04-21 11:08:28.136495
a2c,4800000,254.4,2023-04-21 11:14:31.102468
a2c,5280000,274.6,2023-04-21 11:32:39.453112
a2c,5440000,279.6,2023-04-21 11:38:39.237564
a2c,6080000,359.6,2023-04-21 12:02:25.522024
a2c,6240000,421.4,2023-04-21 12:08:23.855910
a2c,8160000,473.2,2023-04-21 13:20:31.780662
a2c,8960000,490.6,2023-04-21 13:51:03.482510
a2c,9600000,523.4,2023-04-21 14:15:40.008173
a2c,9760000,586.4,2023-04-21 14:21:48.131549
