time/time_elapsed,time/total_timesteps,time/episodes,time/fps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/learning_rate,train/loss
0,192,4,440,0.99980992,,,,,,,
0,256,8,464,0.9997465600000004,,,,,,,
0,352,12,485,0.9996515199999999,7.0,388.0,,,,,
1,504,16,471,0.99950104,8.0,465.6666666666667,,,,,
1,636,20,478,0.9993703599999995,8.25,496.0,,,,,
1,708,24,484,0.9992990799999997,8.25,496.0,,,,,
1,848,28,491,0.99916048,8.25,496.0,,,,,
2,976,32,483,0.9990337599999997,8.375,490.0,,,,,
2,1084,36,489,0.9989268399999999,8.375,490.0,,,,,
2,1128,40,489,0.9988832799999998,8.375,490.0,,,,,
2,1288,44,492,0.9987248799999996,8.0,466.6,,,,,
2,1464,48,496,0.99855064,8.090909090909092,468.54545454545456,,,,,
3,1540,52,493,0.9984754000000001,8.083333333333334,478.25,,,,,
3,1580,56,494,0.9984358000000001,8.083333333333334,478.25,,,,,
3,1716,60,495,0.9983011599999995,7.857142857142857,473.57142857142856,,,,,
3,1832,64,496,0.9981863199999995,7.866666666666666,474.6,,,,,
3,1912,68,497,0.9981071200000006,7.866666666666666,474.6,,,,,
4,2000,72,497,0.9980200000000002,7.75,468.0,,,,,
4,2136,76,496,0.9978853599999996,7.631578947368421,459.7894736842105,,,,,
4,2200,80,496,0.997822,7.631578947368421,459.7894736842105,,,,,
4,2280,84,495,0.9977427999999999,7.631578947368421,459.7894736842105,,,,,
4,2400,88,492,0.9976239999999998,7.65,455.25,,,,,
5,2504,92,489,0.9975210400000002,7.739130434782608,449.60869565217394,,,,,
5,2596,96,488,0.9974299599999997,7.739130434782608,449.60869565217394,,,,,
5,2720,100,487,0.9973071999999995,7.739130434782608,449.60869565217394,,,,,
5,2776,104,486,0.9972517600000002,7.68,446.52,,,,,
5,2924,108,487,0.9971052400000003,7.68,446.52,,,,,
6,3028,112,486,0.9970022799999996,7.814814814814815,452.8888888888889,,,,,
6,3188,116,487,0.9968438800000005,7.814814814814815,452.8888888888889,,,,,
6,3268,120,486,0.9967646800000004,7.758620689655173,457.3448275862069,,,,,
6,3404,124,488,0.9966300399999998,7.758620689655173,457.3448275862069,,,,,
7,3504,128,488,0.9965310400000003,7.806451612903226,458.2258064516129,,,,,
7,3680,132,487,0.9963567999999997,7.84375,457.96875,,,,,
7,3768,136,487,0.9962696800000005,7.878787878787879,458.3030303030303,,,,,
7,3828,140,487,0.9962102799999999,7.878787878787879,458.3030303030303,,,,,
7,3904,144,488,0.9961350399999999,7.823529411764706,457.79411764705884,,,,,
8,4056,148,487,0.9959845599999999,7.742857142857143,460.22857142857146,,,,,
8,4140,152,486,0.9959013999999997,7.8108108108108105,458.86486486486484,,,,,
8,4300,156,487,0.9957429999999996,7.815789473684211,459.5,,,,,
9,4388,160,487,0.9956558800000004,7.815789473684211,459.5,,,,,
9,4484,164,485,0.9955608399999999,7.7,457.575,,,,,
9,4584,168,485,0.9954618400000003,7.658536585365853,453.8536585365854,,,,,
9,4688,172,485,0.9953588799999995,7.666666666666667,457.45238095238096,,,,,
9,4796,176,484,0.9952519599999997,7.666666666666667,457.45238095238096,,,,,
10,4900,180,483,0.9951490000000001,7.651162790697675,457.69767441860466,,,,,
10,5012,184,482,0.9950381200000002,7.733333333333333,457.2,,,,,
10,5120,188,482,0.9949312000000005,7.733333333333333,457.2,,,,,
10,5180,192,481,0.9948717999999999,7.717391304347826,457.45652173913044,,,,,
10,5264,196,481,0.9947886399999997,7.680851063829787,455.8936170212766,,,,,
11,5360,200,480,0.9946936000000002,7.653061224489796,453.265306122449,,,,,
11,5464,204,481,0.9945906400000005,7.653061224489796,453.265306122449,,,,,
11,5528,208,481,0.9945272799999998,7.6,451.74,,,,,
11,5692,212,480,0.9943649199999995,7.615384615384615,449.4807692307692,,,,,
12,5768,216,480,0.9942896799999996,7.60377358490566,449.37735849056605,,,,,
12,5868,220,480,0.99419068,7.60377358490566,449.37735849056605,,,,,
12,5924,224,480,0.9941352399999995,7.62962962962963,449.51851851851853,,,,,
12,6044,228,479,0.9940164400000006,7.607142857142857,447.94642857142856,,,,,
12,6136,232,480,0.9939253600000001,7.614035087719298,446.89473684210526,,,,,
12,6188,236,480,0.9938738799999997,7.614035087719298,446.89473684210526,,,,,
13,6256,240,480,0.99380656,7.603448275862069,445.55172413793105,,,,,
13,6384,244,481,0.9936798399999996,7.55,441.51666666666665,,,,,
13,6528,248,481,0.99353728,7.540983606557377,441.5081967213115,,,,,
13,6588,252,481,0.9934778800000004,7.540983606557377,441.5081967213115,,,,,
13,6648,256,481,0.9934184799999998,7.540983606557377,441.5081967213115,,,,,
14,6820,260,480,0.9932482000000004,7.453125,440.9375,,,,,
14,6920,264,479,0.9931491999999997,7.430769230769231,440.24615384615385,,,,,
14,6968,268,480,0.9931016799999994,7.430769230769231,440.24615384615385,,,,,
14,7048,272,479,0.9930224800000005,7.409090909090909,439.45454545454544,,,,,
15,7256,276,479,0.9928165600000001,7.426470588235294,439.95588235294116,,,,,
15,7360,280,479,0.9927136000000004,7.420289855072464,442.28985507246375,,,,,
15,7428,284,479,0.9926462799999995,7.420289855072464,442.28985507246375,,,,,
15,7508,288,478,0.9925670799999995,7.4,442.0571428571429,,,,,
15,7652,292,479,0.9924245199999998,7.388888888888889,440.81944444444446,,,,,
16,7764,296,479,0.9923136399999999,7.388888888888889,440.81944444444446,,,,,
16,7856,300,479,0.9922225599999994,7.424657534246576,441.972602739726,,,,,
16,8004,304,480,0.9920760399999997,7.426666666666667,441.44,,,,,
16,8064,308,479,0.9920166400000001,7.407894736842105,443.5394736842105,,,,,
17,8224,312,480,0.99185824,7.407894736842105,443.5394736842105,,,,,
17,8272,316,479,0.9918107199999997,7.376623376623376,443.76623376623377,,,,,
17,8388,320,479,0.9916958799999998,7.329113924050633,442.62025316455697,,,,,
17,8504,324,479,0.9915810399999997,7.3125,442.475,,,,,
17,8600,328,478,0.9914860000000003,7.296296296296297,441.8024691358025,,,,,
18,8696,332,478,0.9913909599999997,7.296296296296297,441.8024691358025,,,,,
18,8804,336,477,0.9912840399999999,7.304878048780488,441.5975609756098,,,,,
18,8924,340,477,0.9911652399999998,7.309523809523809,443.0952380952381,,,,,
18,8988,344,477,0.9911018800000002,7.317647058823529,442.16470588235296,,,,,
19,9072,348,476,0.99101872,7.317647058823529,442.16470588235296,,,,,
19,9184,352,476,0.9909078400000001,7.317647058823529,442.16470588235296,,,,,
19,9336,356,475,0.9907573600000003,7.303370786516854,442.3820224719101,,,,,
19,9412,360,475,0.9906821200000002,7.303370786516854,442.3820224719101,,,,,
20,9560,364,475,0.9905356000000004,7.303370786516854,442.3820224719101,,,,,
20,9612,368,475,0.9904841200000001,7.277777777777778,441.6666666666667,,,,,
20,9712,372,475,0.9903851200000005,7.282608695652174,441.9021739130435,,,,,
20,9832,376,475,0.9902663200000004,7.290322580645161,442.83870967741933,,,,,
20,9928,380,475,0.9901712799999999,7.297872340425532,441.7659574468085,,,,,
21,10024,384,475,0.9900762400000004,7.297872340425532,441.7659574468085,,,,,
21,10116,388,475,0.98998516,7.3052631578947365,441.9789473684211,,,,,
21,10228,392,475,0.9898742800000001,7.329896907216495,441.49484536082474,,,,,
21,10304,396,475,0.9897990400000001,7.326530612244898,440.83673469387753,,,,,
21,10408,400,475,0.9896960800000004,7.326530612244898,440.83673469387753,,,,,
22,10460,404,475,0.9896446000000001,7.353535353535354,440.1313131313131,,,,,
22,10588,408,475,0.9895178799999997,7.34,439.41,,,,,
22,10732,412,475,0.9893753200000001,7.37,439.7,,,,,
22,10868,416,475,0.9892406799999994,7.31,438.82,,,,,
22,10912,420,474,0.9891971200000004,7.31,438.82,,,,,
23,11056,424,474,0.9890545599999996,7.31,438.82,,,,,
23,11236,428,472,0.98887636,7.32,439.72,,,,,
24,11368,432,473,0.9887456799999995,7.32,439.72,,,,,
24,11400,436,473,0.9887139999999998,7.32,439.72,,,,,
24,11480,440,473,0.9886347999999996,7.32,439.72,,,,,
24,11648,444,473,0.9884684800000003,7.27,440.08,,,,,
24,11748,448,473,0.9883694799999997,7.27,440.08,,,,,
24,11816,452,473,0.9883021599999999,7.27,440.08,,,,,
25,11880,456,473,0.9882388000000003,7.25,437.42,,,,,
25,12048,460,473,0.9880724799999999,7.24,437.13,,,,,
25,12132,464,472,0.9879893199999997,7.3,438.18,,,,,
25,12236,468,472,0.9878863600000001,7.31,438.08,,,,,
26,12324,472,472,0.9877992399999997,7.29,436.96,,,,,
26,12476,476,472,0.9876487599999999,7.29,436.96,,,,,
26,12572,480,472,0.9875537200000004,7.29,436.96,,,,,
26,12748,484,472,0.9873794799999998,7.35,441.29,,,,,
27,12824,488,472,0.9873042399999998,7.33,442.04,,,,,
27,12884,492,472,0.9872448400000003,7.33,442.04,,,,,
27,13056,496,473,0.9870745599999998,7.32,441.15,,,,,
27,13216,500,472,0.9869161599999997,7.36,442.82,,,,,
28,13272,504,472,0.9868607200000002,7.37,446.14,,,,,
28,13456,508,473,0.9866785600000005,7.37,445.89,,,,,
28,13524,512,473,0.9866112399999997,7.37,445.89,,,,,
28,13628,516,473,0.98650828,7.37,445.89,,,,,
29,13760,520,472,0.9863775999999995,7.45,444.07,,,,,
29,13868,524,473,0.9862706799999998,7.45,444.07,,,,,
29,13896,528,473,0.9862429600000001,7.45,444.07,,,,,
29,13976,532,473,0.9861637600000001,7.39,442.25,,,,,
29,14168,536,473,0.9859736800000001,7.42,441.09,,,,,
30,14272,540,472,0.9858707200000004,7.42,441.09,,,,,
30,14316,544,473,0.9858271600000003,7.42,441.09,,,,,
30,14420,548,473,0.9857241999999995,7.44,440.23,,,,,
30,14532,552,473,0.9856133199999996,7.38,439.8,,,,,
30,14624,556,472,0.9855222400000002,7.37,439.22,,,,,
31,14692,560,473,0.9854549200000006,7.37,439.22,,,,,
31,14760,564,472,0.9853875999999997,7.44,437.46,,,,,
31,14880,568,473,0.9852687999999996,7.44,437.46,,,,,
31,14984,572,472,0.9851658399999998,7.45,439.81,,,,,
31,15132,576,473,0.98501932,7.46,438.32,,,,,
32,15200,580,473,0.9849520000000004,7.46,438.4,,,,,
32,15372,584,473,0.9847817199999999,7.46,438.4,,,,,
32,15492,588,474,0.9846629199999997,7.41,439.36,,,,,
32,15636,592,474,0.98452036,7.46,440.28,,,,,
33,15696,596,474,0.9844609600000005,7.47,443.03,,,,,
33,15800,600,474,0.9843579999999997,7.47,443.03,,,,,
33,15924,604,474,0.9842352399999995,7.47,442.31,,,,,
33,16056,608,474,0.9841045600000001,7.5,442.99,,,,,
34,16148,612,474,0.9840134799999998,7.54,444.27,,,,,
34,16272,616,474,0.9838907199999996,7.54,444.27,,,,,
34,16416,620,474,0.9837481599999998,7.54,443.52,,,,,
34,16528,624,473,0.98363728,7.55,443.72,,,,,
35,16704,628,473,0.9834630400000004,7.56,447.72,,,,,
35,16772,632,473,0.9833957199999995,7.54,448.56,,,,,
35,16876,636,473,0.9832927599999999,7.54,448.56,,,,,
35,17024,640,474,0.9831462400000001,7.6,452.02,,,,,
36,17132,644,473,0.9830393200000003,7.6,452.02,,,,,
36,17228,648,474,0.9829442799999998,7.59,453.45,,,,,
36,17360,652,474,0.9828136000000004,7.66,455.29,,,,,
36,17472,656,474,0.9827027200000005,7.66,455.29,,,,,
37,17564,660,474,0.9826116400000001,7.68,456.37,,,,,
37,17640,664,474,0.9825364000000001,7.68,455.83,,,,,
37,17836,668,474,0.9823423600000001,7.68,455.87,,,,,
