train/explained_variance,time/total_timesteps,train/n_updates,train/value_loss,time/iterations,train/policy_loss,train/entropy_loss,rollout/ep_len_mean,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
0.0021818876266479492,8000,99,0.21012134850025177,100,0.42045751214027405,-2.197209119796753,457.0,0.0007,933,8,208.33333333333334,,
0.034698307514190674,16000,199,0.24122606217861176,200,0.44560033082962036,-2.197186231613159,493.08,0.0007,999,16,237.6,,
-0.029956936836242676,24000,299,0.38356608152389526,300,0.003249478293582797,-2.19687819480896,509.3809523809524,0.0007,1000,23,257.3809523809524,,
0.04136526584625244,32000,399,0.18868204951286316,400,0.31084540486335754,-2.1970651149749756,504.41379310344826,0.0007,1012,31,259.48275862068965,,
-0.15693628787994385,40000,499,0.35231468081474304,500,0.11026789993047714,-2.195631742477417,504.3766233766234,0.0007,1003,39,265.1948051948052,,
0.06810355186462402,48000,599,0.17484693229198456,600,0.2556073069572449,-2.179974317550659,502.34065934065933,0.0007,1012,47,259.8901098901099,,
0.016094565391540527,56000,699,0.5538960695266724,700,-0.03433432802557945,-2.1526758670806885,510.48,0.0007,1032,54,265.0,,
-0.0651247501373291,64000,799,0.5128943920135498,800,-0.05201059579849243,-1.9666227102279663,510.54,0.0007,1038,61,271.7,,
0.1265891194343567,72000,899,0.24358339607715607,900,0.23030757904052734,-1.6180349588394165,504.94,0.0007,1044,68,270.2,,
0.054937899112701416,80000,999,0.4488848149776459,1000,-0.10046274960041046,-1.8052858114242554,528.7,0.0007,1051,76,297.5,,
0.5034166276454926,88000,1099,0.10501491278409958,1100,0.04320213943719864,-2.0532875061035156,546.72,0.0007,1051,83,321.8,,
0.169427752494812,96000,1199,1.697212815284729,1200,-0.7127998471260071,-1.878517746925354,564.24,0.0007,1062,90,357.3,,
0.78738634288311,104000,1299,0.20468735694885254,1300,0.10407276451587677,-1.8430601358413696,582.98,0.0007,1056,98,390.8,,
0.7721739709377289,112000,1399,1.2556880712509155,1400,-0.4540998637676239,-1.7304705381393433,598.22,0.0007,1050,106,420.3,,
0.9387658499181271,120000,1499,0.1385623663663864,1500,0.03847573325037956,-1.9380772113800049,615.7,0.0007,1047,114,454.3,,
0.7917251884937286,128000,1599,0.20398762822151184,1600,0.2684771716594696,-2.146026849746704,639.3,0.0007,1042,122,485.6,,
0.9290213882923126,136000,1699,0.11362113058567047,1700,-0.16847655177116394,-1.332009196281433,642.5,0.0007,1040,130,501.4,,
0.9252380281686783,144000,1799,0.150104358792305,1800,0.16861720383167267,-2.0090978145599365,648.94,0.0007,1037,138,513.6,,
0.6600858867168427,152000,1899,3.163226842880249,1900,-1.0469236373901367,-1.3780511617660522,645.14,0.0007,1034,146,527.9,,
0.1806396245956421,160000,1999,2.922276496887207,,-0.3120358884334564,-1.6120280027389526,,0.0007,,,,572.0,705.4
,160000,,,2000,,,641.66,,983,162,518.6,,
