time/fps,rollout/exploration_rate,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/loss
1168,0.9995564800000004,448,4,0,,,,,,,
1188,0.9994178799999998,588,8,0,,,,,,,
1199,0.9992436400000002,764,12,0,,,,,,,
1124,0.9990020799999999,1008,16,0,255.25,9.0,,,,,
1185,0.9986100399999996,1404,20,1,255.25,9.0,,,,,
1179,0.9984833200000004,1532,24,1,255.25,9.0,,,,,
1163,0.9982655199999996,1752,28,1,246.6,8.4,,,,,
1160,0.9979843600000002,2036,32,1,251.75,8.5,,,,,
1180,0.9976754800000002,2348,36,1,251.75,8.5,,,,,
1185,0.9975250000000003,2500,40,2,251.75,8.5,,,,,
1191,0.9973071999999995,2720,44,2,252.33333333333334,8.88888888888889,,,,,
1192,0.9968438800000005,3188,48,2,260.1818181818182,9.0,,,,,
1188,0.9966815200000002,3352,52,2,266.9166666666667,9.166666666666666,,,,,
1187,0.9964874800000001,3548,56,2,266.9166666666667,9.166666666666666,,,,,
1179,0.9962815599999997,3756,60,3,265.35714285714283,8.928571428571429,,,,,
1178,0.9958934799999996,4148,64,3,269.0,9.0,,,,,
1177,0.9955885599999995,4456,68,3,267.4375,9.0625,,,,,
1183,0.9953667999999998,4680,72,3,267.4375,9.0625,,,,,
1178,0.9951767199999998,4872,76,4,270.27777777777777,9.055555555555555,,,,,
1184,0.99484012,5212,80,4,270.10526315789474,9.105263157894736,,,,,
1183,0.9946777599999997,5376,84,4,272.5,9.2,,,,,
1191,0.9942896799999996,5768,88,4,272.5,9.2,,,,,
1190,0.9941471199999998,5912,92,4,272.3181818181818,9.318181818181818,,,,,
1198,0.9937828000000004,6280,96,5,272.3181818181818,9.318181818181818,,,,,
1193,0.9936758799999995,6388,100,5,273.125,9.5,,,,,
1187,0.99335116,6716,104,5,270.61538461538464,9.23076923076923,,,,,
1191,0.9931412799999995,6928,108,5,270.61538461538464,9.23076923076923,,,,,
1197,0.9928363599999995,7236,112,6,270.61538461538464,9.23076923076923,,,,,
1198,0.9926145999999998,7460,116,6,271.9259259259259,9.25925925925926,,,,,
1195,0.9923255200000003,7752,120,6,272.26666666666665,9.166666666666666,,,,,
1198,0.9920522800000001,8028,124,6,272.26666666666665,9.166666666666666,,,,,
1200,0.9918265600000001,8256,128,6,272.26666666666665,9.166666666666666,,,,,
1202,0.9916206399999997,8464,132,7,271.2903225806452,9.096774193548388,,,,,
1204,0.9912484,8840,136,7,272.70588235294116,9.205882352941176,,,,,
1205,0.99101872,9072,140,7,272.70588235294116,9.205882352941176,,,,,
1208,0.9907573600000003,9336,144,7,271.4,9.2,,,,,
1211,0.9904603600000005,9636,148,7,271.0,9.194444444444445,,,,,
1211,0.9902702800000005,9828,152,8,271.0,9.194444444444445,,,,,
1208,0.98994556,10156,156,8,272.46153846153845,9.153846153846153,,,,,
1210,0.9897317200000004,10372,160,8,272.46153846153845,9.153846153846153,,,,,
1210,0.9895218399999999,10584,164,8,272.46153846153845,9.153846153846153,,,,,
1209,0.9893515600000005,10756,168,8,272.45,9.15,,,,,
1210,0.9889793199999997,11132,172,9,271.95238095238096,9.119047619047619,,,,,
1208,0.9887100399999996,11404,176,9,271.9767441860465,9.116279069767442,,,,,
1207,0.9885199599999996,11596,180,9,271.9767441860465,9.116279069767442,,,,,
1204,0.9882625599999999,11856,184,9,271.64444444444445,9.066666666666666,,,,,
1201,0.987922,12200,188,10,273.78723404255317,9.063829787234043,,,,,
1203,0.9877002400000002,12424,192,10,273.78723404255317,9.063829787234043,,,,,
1203,0.9874349200000003,12692,196,10,273.78723404255317,9.063829787234043,,,,,
1199,0.9872131600000005,12916,200,10,273.8775510204082,9.081632653061224,,,,,
1199,0.9869003200000003,13232,204,11,273.02,9.06,,,,,
1200,0.9866547999999998,13480,208,11,273.02,9.06,,,,,
1198,0.98646868,13668,212,11,275.01960784313724,9.058823529411764,,,,,
1196,0.9861558399999998,13984,216,11,274.3333333333333,9.166666666666666,,,,,
1197,0.9858707200000004,14272,220,11,274.3333333333333,9.166666666666666,,,,,
1198,0.9856648,14480,224,12,274.3333333333333,9.166666666666666,,,,,
1199,0.98539948,14748,228,12,274.1090909090909,9.218181818181819,,,,,
1199,0.9851579199999997,14992,232,12,274.57894736842104,9.210526315789474,,,,,
1199,0.98474608,15408,236,12,275.1034482758621,9.172413793103448,,,,,
1199,0.9845876799999997,15568,240,12,274.93220338983053,9.152542372881356,,,,,
1199,0.9844213600000005,15736,244,13,274.93220338983053,9.152542372881356,,,,,
1197,0.9841599999999996,16000,248,13,274.39344262295083,9.163934426229508,,,,,
1197,0.9838115200000005,16352,252,13,274.88709677419354,9.17741935483871,,,,,
1198,0.9835184799999998,16648,256,13,274.0,9.142857142857142,,,,,
1199,0.9832373200000005,16932,260,14,274.0,9.142857142857142,,,,,
1198,0.9830036800000004,17168,264,14,275.234375,9.109375,,,,,
1195,0.9826353999999997,17540,268,14,278.1194029850746,9.074626865671641,,,,,
1198,0.9823146400000003,17864,272,14,278.1194029850746,9.074626865671641,,,,,
1199,0.9820849600000003,18096,276,15,278.1194029850746,9.074626865671641,,,,,
1199,0.9819107199999997,18272,280,15,278.54411764705884,9.088235294117647,,,,,
1201,0.98142364,18764,284,15,278.3857142857143,9.1,,,,,
1200,0.9813048399999998,18884,288,15,279.2957746478873,9.140845070422536,,,,,
1203,0.9810355599999998,19156,292,15,279.2957746478873,9.140845070422536,,,,,
