time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/learning_rate,train/clip_range,train/n_updates,train/entropy_loss,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
36,255,294912,753.2,56.13,1152,0.09222625,0.0003,0.2,350,-0.7085191126912832,0.37318115234375,0.8390896171331406,0.06950943171977997,0.6451114546274767,-0.04752923677078798,,
37,256,303104,740.9,58.08,1183,0.101902895,0.0003,0.2,360,-0.7077761083841324,0.37799072265625,0.835026204586029,0.01132221519947052,0.6386636991810519,-0.0513181739486754,,
38,256,311296,714.64,64.28,1214,0.09762928,0.0003,0.2,370,-0.6789828579407186,0.3664306640625,0.839360773563385,0.20131726562976837,0.6243973391596228,-0.050769627992849564,,
39,256,319488,702.86,70.18,1245,0.10389501,0.0003,0.2,380,-0.6741258556488902,0.37354736328125,0.8079851716756821,0.17497655749320984,0.7338856474612839,-0.05134743611124577,,
,,320000,,,,0.11756618,0.0003,0.2,390,-0.6708294879645109,0.37835693359375,0.8017266094684601,0.3918724060058594,0.750239648623392,-0.05156220535936882,91.2,831.4
40,255,327680,715.75,72.88,1280,,,,,,,,,,,,
41,256,335872,758.12,64.27,1311,0.13180077,0.0003,0.2,400,-0.6450329100480303,0.38834228515625,0.8147777915000916,0.1971595734357834,0.7747098052990623,-0.05066335527735646,,
42,256,344064,803.1,54.19,1341,0.11525295,0.0003,0.2,410,-0.6292740218341351,0.37930908203125,0.8290764540433884,0.08995978534221649,0.696226223919075,-0.040886131677689265,,
43,256,352256,823.88,49.22,1373,0.12445942,0.0003,0.2,420,-0.6251170334871858,0.38863525390625,0.8276222199201584,0.04381109029054642,0.5460991612519137,-0.04590627704383223,,
,,360000,,,,0.123271435,0.0003,0.2,430,-0.6429802734637633,0.37996826171875,0.8075655698776245,0.15281836688518524,0.618974834238179,-0.04548940596796456,54.2,881.6
44,256,360448,821.69,51.56,1406,,,,,,,,,,,,
45,256,368640,810.95,56.47,1436,0.11366228,0.0003,0.2,440,-0.6351483896607533,0.3742919921875,0.773925706744194,0.4491193890571594,0.8191861278377474,-0.0464378919939918,,
46,256,376832,807.71,61.33,1467,0.10913882,0.0003,0.2,450,-0.6348206310532987,0.3732177734375,0.7943005710840225,0.07664526998996735,0.7329620285425336,-0.04772930210310733,,
47,256,385024,823.43,64.67,1498,0.11598827,0.0003,0.2,460,-0.6517226544907316,0.378173828125,0.8250568509101868,0.06913230568170547,0.6051221732690465,-0.047681933026979095,,
48,257,393216,840.2,70.74,1529,0.10819307,0.0003,0.2,470,-0.6699280812172219,0.369287109375,0.785451129078865,0.06378588080406189,0.8159897902514786,-0.049368895602674455,,
,,400000,,,,0.12536702,0.0003,0.2,480,-0.6605950905010104,0.3901611328125,0.793613001704216,0.07924503087997437,0.7024814074160531,-0.053076207148114916,65.0,842.6
49,256,401408,819.87,74.82,1563,,,,,,,,,,,,
50,256,409600,817.26,70.84,1595,0.1334503,0.0003,0.2,490,-0.650374235631898,0.3847412109375,0.8024524748325348,0.14641524851322174,0.7373387857107445,-0.05385975824901834,,
51,256,417792,835.59,67.19,1625,0.12854184,0.0003,0.2,500,-0.6523527398938314,0.3974853515625,0.8168439865112305,-0.006539627909660339,0.5935651788313407,-0.05464584069413832,,
52,257,425984,825.78,68.21,1656,0.117360294,0.0003,0.2,510,-0.6608324336353689,0.39063720703125,0.7843810170888901,0.1622885912656784,0.8413742469390855,-0.05051370771398069,,
53,257,434176,829.28,79.59,1687,0.13131292,0.0003,0.2,520,-0.6556776743149385,0.3907470703125,0.8037214875221252,0.04156573861837387,0.8109033830871339,-0.05051102937795804,,
,,440000,,,,0.13140905,0.0003,0.2,530,-0.6597505242796615,0.40540771484375,0.8037535399198532,0.12163557857275009,0.5403269282716792,-0.05526512354917941,109.4,942.4
54,256,442368,843.3,85.71,1723,,,,,,,,,,,,
55,256,450560,863.48,92.31,1753,0.12976998,0.0003,0.2,540,-0.6517510345438495,0.39429931640625,0.8211201876401901,0.06886526942253113,0.6551015793345869,-0.057268369188386715,,
56,257,458752,867.21,83.95,1783,0.12623776,0.0003,0.2,550,-0.6140979310497642,0.37864990234375,0.8125659078359604,0.07535161823034286,0.6991661388194188,-0.05203310653814697,,
57,257,466944,869.32,76.96,1814,0.13225704,0.0003,0.2,560,-0.6073486345354467,0.37542724609375,0.7689959406852722,0.4114387035369873,1.0024201225256548,-0.053851270853192544,,
58,257,475136,862.46,71.83,1845,0.13516587,0.0003,0.2,570,-0.613934686454013,0.39105224609375,0.7706263512372971,0.1391918808221817,0.8255642715725117,-0.05081134685242432,,
,,480000,,,,0.13663591,0.0003,0.2,580,-0.6140619561774656,0.379443359375,0.7464646995067596,0.25980550050735474,1.1208726938697509,-0.04915392332986812,109.4,918.4
59,257,483328,859.0,75.31,1879,,,,,,,,,,,,
60,257,491520,885.55,85.9,1910,0.13250001,0.0003,0.2,590,-0.6181839103344828,0.38612060546875,0.7517416775226593,0.12952259182929993,0.9710393293295055,-0.04948546563100535,,
61,257,499712,906.01,92.76,1941,0.14480574,0.0003,0.2,600,-0.6558345460798591,0.41590576171875,0.7234246134757996,0.4429522156715393,0.8277602847898379,-0.051734762764681363,,
62,257,507904,901.43,95.11,1971,0.12950507,0.0003,0.2,610,-0.6258891951525584,0.3876708984375,0.7812090963125229,0.2215229868888855,0.9029984734137543,-0.04955123402905883,,
63,257,516096,906.45,97.29,2003,0.14671338,0.0003,0.2,620,-0.6262247165897861,0.39658203125,0.7979302257299423,0.026584714651107788,0.8770110684738028,-0.054532931695575826,,
,,520000,,,,0.12543398,0.0003,0.2,630,-0.6101803585654124,0.38062744140625,0.816094160079956,0.09248778223991394,0.8871702729258686,-0.048237175561735054,81.2,899.8
64,257,524288,918.04,96.29,2036,,,,,,,,,,,,
65,257,532480,929.48,95.8,2068,0.23426539,0.0003,0.2,640,-0.6343172732740641,0.39542236328125,0.81355881690979,0.3686734437942505,0.8524101121525746,-0.05034479947062209,,
66,257,540672,948.02,93.24,2098,0.1515018,0.0003,0.2,650,-0.6195225802948698,0.40308837890625,0.8392207324504852,0.26131558418273926,0.7686156342620961,-0.053884509319323114,,
67,257,548864,957.64,94.22,2129,0.12371002,0.0003,0.2,660,-0.6202147786738351,0.372900390625,0.8261842429637909,0.08384829014539719,0.7938311209552922,-0.049115214562698385,,
68,257,557056,992.12,90.08,2160,0.15183362,0.0003,0.2,670,-0.6079286247724667,0.3833740234375,0.7914091497659683,0.2673843502998352,1.041405242786277,-0.05114504641969688,,
,,560000,,,,0.13016957,0.0003,0.2,680,-0.6227565081324429,0.389794921875,0.8125472366809845,0.23250868916511536,0.8788226017262787,-0.044118756103125635,105.8,1016.8
69,257,565248,977.82,86.24,2193,,,,,,,,,,,,
70,257,573440,971.78,80.57,2224,0.12836558,0.0003,0.2,690,-0.6117942984681577,0.38626708984375,0.7901356667280197,0.7512964010238647,1.0794369230978191,-0.04681431049284583,,
71,257,581632,939.7,75.91,2256,0.13279852,0.0003,0.2,700,-0.6011422123061493,0.375390625,0.7629493921995163,0.3323003053665161,1.1936937984777614,-0.048892249643540706,,
72,257,589824,923.93,74.64,2287,0.13322493,0.0003,0.2,710,-0.5983450889121741,0.38662109375,0.7235970795154572,0.6318332552909851,1.3615827577305026,-0.047167669423652116,,
73,257,598016,951.68,84.46,2318,0.13961849,0.0003,0.2,720,-0.5976331243291497,0.38831787109375,0.7501503229141235,0.8575255870819092,1.2628174934419802,-0.048745993117336184,,
,,600000,,,,0.14152685,0.0003,0.2,730,-0.5705723711522296,0.38616943359375,0.824469804763794,0.09957601875066757,0.8415313536534086,-0.050474869521713116,107.4,1074.8
74,257,606208,989.59,93.11,2353,,,,,,,,,,,,
75,257,614400,1028.04,98.48,2384,0.14178444,0.0003,0.2,740,-0.5729091649409384,0.37701416015625,0.8170056790113449,0.4556242823600769,0.9266348339268007,-0.047386639460455626,,
76,257,622592,1028.2,100.06,2418,0.13844676,0.0003,0.2,750,-0.5697371150599793,0.37132568359375,0.8217400461435318,0.14235201478004456,0.8569479106401559,-0.04765483160881558,,
77,257,630784,1026.19,101.37,2451,0.1389068,0.0003,0.2,760,-0.5765959958313033,0.37261962890625,0.8297957926988602,0.39295098185539246,0.8990086110366974,-0.04977740748654469,,
78,257,638976,1028.71,106.73,2482,0.14927675,0.0003,0.2,770,-0.5509275781456381,0.36370849609375,0.8297043442726135,0.17899355292320251,0.9321691275166814,-0.049358074541669336,,
,,640000,,,,0.1576046,0.0003,0.2,780,-0.5645842812256887,0.3773193359375,0.824002668261528,0.020606540143489838,0.7568278764141724,-0.0456010952773795,104.2,930.6
79,257,647168,1044.25,107.78,2516,,,,,,,,,,,,
80,257,655360,1060.4,106.27,2547,0.12299509,0.0003,0.2,790,-0.5627827256917953,0.354443359375,0.8084654957056046,0.2204318344593048,1.237084737699479,-0.046126483707121226,,
81,257,663552,1064.64,105.98,2578,0.1534276,0.0003,0.2,800,-0.5712292054668069,0.38533935546875,0.833673968911171,0.1051347479224205,0.8527424765110482,-0.05156314505766204,,
82,257,671744,1068.44,107.23,2610,0.15918049,0.0003,0.2,810,-0.5541519975755363,0.38179931640625,0.8732800781726837,0.012071184813976288,0.6218785372097045,-0.05737277048392571,,
83,257,679936,1055.38,107.04,2642,0.14814082,0.0003,0.2,820,-0.5394669319037348,0.3681396484375,0.8533696085214615,0.047700852155685425,0.8716190640407149,-0.05193830028365483,,
,,680000,,,,0.16719297,0.0003,0.2,830,-0.5373475904809311,0.3765625,0.8416914343833923,0.03175486624240875,0.9225059388263617,-0.05052338252135087,120.4,1112.8
84,256,688128,1044.15,110.03,2677,,,,,,,,,,,,
85,257,696320,1049.2,116.47,2708,0.15869923,0.0003,0.2,840,-0.5328027703799307,0.3653564453125,0.8472210466861725,0.26239460706710815,0.9296772476751357,-0.05029519882082241,,
86,257,704512,1059.13,122.14,2740,0.152116,0.0003,0.2,850,-0.5478257679147646,0.37874755859375,0.884384423494339,0.026526905596256256,0.6616697379562538,-0.05144174730630766,,
87,257,712704,1059.95,119.43,2772,0.15935986,0.0003,0.2,860,-0.5549960782751441,0.38310546875,0.8529924601316452,0.2482576072216034,0.9088929633493535,-0.05018409643307677,,
,,720000,,,,0.15109983,0.0003,0.2,870,-0.5451032154727727,0.3741943359375,0.851620152592659,0.5844742059707642,1.0304728444782085,-0.04932700091958395,153.6,1123.0
88,256,720896,1067.39,120.16,2807,,,,,,,,,,,,
89,256,729088,1092.15,121.04,2838,0.15823422,0.0003,0.2,880,-0.5033953898120671,0.3641357421875,0.852936401963234,-0.009340986609458923,1.0654725411790422,-0.043559806975099494,,
90,256,737280,1104.29,122.55,2869,0.17460474,0.0003,0.2,890,-0.5321395981591195,0.3818115234375,0.8749742060899734,0.5072410106658936,0.7933690036239568,-0.04710428363177925,,
91,256,745472,1099.06,115.42,2903,0.14973326,0.0003,0.2,900,-0.5432551471749321,0.3582275390625,0.8089592307806015,0.37917035818099976,1.4537792705814354,-0.04752898238875787,,
92,256,753664,1098.72,113.7,2935,0.15693477,0.0003,0.2,910,-0.528468138515018,0.37623291015625,0.8213437646627426,0.25647079944610596,1.318335236760322,-0.045421533001353966,,
,,760000,,,,0.1639699,0.0003,0.2,920,-0.5254383713239804,0.3778076171875,0.8556848466396332,0.5457457900047302,0.9949016443570144,-0.0433355944500363,117.4,1142.8
93,256,761856,1061.25,105.11,2972,,,,,,,,,,,,
94,256,770048,1057.93,107.78,3004,0.15001947,0.0003,0.2,930,-0.5474801449803636,0.3747314453125,0.7983871400356293,0.15143071115016937,1.6235347151523456,-0.04323308979146532,,
95,256,778240,985.7,88.52,3036,0.15228257,0.0003,0.2,940,-0.5460888092871755,0.378125,0.7817261070013046,0.12037903815507889,1.3719275394221768,-0.046521856838080564,,
96,256,786432,998.73,85.23,3067,0.13972634,0.0003,0.2,950,-0.5725741036934778,0.380810546875,0.6525252759456635,1.0343633890151978,1.8729114447021857,-0.04331459168461151,,
97,256,794624,977.18,80.23,3098,0.16214025,0.0003,0.2,960,-0.55123798167333,0.3877197265625,0.7013098895549774,0.5381337404251099,1.52654436994344,-0.04409708030725597,,
,,800000,,,,0.16587478,0.0003,0.2,970,-0.5604963993653655,0.3885986328125,0.6619029343128204,0.3864431381225586,1.3197528506978415,-0.04475178510547266,122.4,1167.2
98,256,802816,1022.47,89.09,3132,,,,,,,,,,,,
99,256,811008,1042.55,93.76,3164,0.1669523,0.0003,0.2,980,-0.5567428975366056,0.38570556640625,0.7088494896888733,0.33738917112350464,1.318201822170522,-0.04595278407796286,,
100,256,819200,1060.77,93.62,3196,0.16320007,0.0003,0.2,990,-0.5559325215406716,0.37021484375,0.699713408946991,0.5789721012115479,1.4210772910271772,-0.04684864085065783,,
101,256,827392,1082.17,100.15,3228,0.15439558,0.0003,0.2,1000,-0.5478610690217465,0.371435546875,0.7194761335849762,0.30105268955230713,1.2486845848266968,-0.04662914108048426,,
102,256,835584,1100.26,104.8,3260,0.14708236,0.0003,0.2,1010,-0.5454215473262594,0.363818359375,0.7637954950332642,0.07055702060461044,1.0968219212605619,-0.04812167276686523,,
,,840000,,,,0.15925376,0.0003,0.2,1020,-0.5462451167404652,0.37593994140625,0.7896218299865723,0.6555113196372986,1.1704381920048035,-0.045996715591900286,116.2,1144.6
103,256,843776,1096.22,106.73,3293,,,,,,,,,,,,
104,256,851968,1069.21,105.13,3324,0.15477787,0.0003,0.2,1030,-0.5410695491824299,0.36937255859375,0.8109517842531204,0.5600751638412476,0.9699220537324436,-0.04776508787181229,,
105,256,860160,1032.75,105.51,3357,0.16288182,0.0003,0.2,1040,-0.5315316836582497,0.3664794921875,0.8147718161344528,0.13246355950832367,1.0125117514980957,-0.04778020760022628,,
106,256,868352,1039.55,110.58,3389,0.14643046,0.0003,0.2,1050,-0.5428532130550593,0.362158203125,0.7956306785345078,0.28626424074172974,1.1132755757309496,-0.048587525540642676,,
107,256,876544,1056.45,109.56,3420,0.15722848,0.0003,0.2,1060,-0.5415649214293807,0.37972412109375,0.7656407058238983,0.557187020778656,1.199806707527023,-0.044449985626124545,,
,,880000,,,,0.14985815,0.0003,0.2,1070,-0.5520791307557374,0.37393798828125,0.7653410583734512,0.3448837399482727,1.1990131859667599,-0.048623659984150434,115.0,1144.4
108,255,884736,1050.07,103.8,3457,,,,,,,,,,,,
109,255,892928,1077.08,106.96,3488,0.14471298,0.0003,0.2,1080,-0.5722917896928266,0.368115234375,0.7212527692317963,0.2526922821998596,1.5304847912280821,-0.04608131750574103,,
110,255,901120,1063.53,106.26,3520,0.14951733,0.0003,0.2,1090,-0.5309503723401576,0.35946044921875,0.7630086690187454,0.8210646510124207,1.2069658138439991,-0.04334032624392421,,
111,256,909312,1076.62,110.51,3551,0.15422195,0.0003,0.2,1100,-0.5360843695001677,0.3655029296875,0.7503242343664169,0.3278809189796448,1.390236001892481,-0.04716875105004874,,
112,256,917504,1074.41,109.66,3583,0.15592724,0.0003,0.2,1110,-0.5531663144240155,0.37418212890625,0.7664589583873749,0.5699553489685059,1.351227857603226,-0.04586268454659148,,
,,920000,,,,0.15433575,0.0003,0.2,1120,-0.5211130559677258,0.3637451171875,0.7848998457193375,1.1195191144943237,1.2629798197303899,-0.04729077836163924,83.8,1000.4
113,255,925696,1100.8,116.67,3618,,,,,,,,,,,,
114,255,933888,1135.04,122.22,3650,0.1730075,0.0003,0.2,1130,-0.5323066168697551,0.37581787109375,0.7634624689817429,0.5802717208862305,1.367495072912425,-0.04521951290371362,,
115,255,942080,1152.84,127.14,3682,0.1795493,0.0003,0.2,1140,-0.5111097363987938,0.367529296875,0.7781476229429245,0.6191002726554871,1.4456174841034226,-0.04345581117195252,,
116,255,950272,1161.76,128.23,3714,0.14283001,0.0003,0.2,1150,-0.516276529757306,0.34815673828125,0.7586939036846161,1.5502135753631592,1.797981077095028,-0.03795598726574099,,
117,255,958464,1155.59,126.46,3745,0.15719889,0.0003,0.2,1160,-0.5090194482123479,0.36531982421875,0.8323070406913757,0.2684371769428253,1.2423857282148674,-0.03671151217786246,,
,,960000,,,,0.17054231,0.0003,0.2,1170,-0.4909738149959594,0.35069580078125,0.8334560841321945,0.32272565364837646,1.2430296239326708,-0.04278862249702797,154.0,1416.0
118,255,966656,1159.81,124.04,3784,,,,,,,,,,,,
119,255,974848,1167.47,124.47,3814,0.14726704,0.0003,0.2,1180,-0.5177324092015624,0.35257568359375,0.7806822508573532,0.5553762316703796,1.4924763010581956,-0.04413980523022474,,
120,255,983040,1134.46,112.94,3846,0.16913582,0.0003,0.2,1190,-0.46683656629174947,0.34066162109375,0.824827715754509,0.22155821323394775,1.2153902017744258,-0.03966420149808982,,
121,255,991232,1091.06,102.24,3878,0.1422125,0.0003,0.2,1200,-0.4749045968055725,0.3271728515625,0.8010973781347275,0.24623961746692657,1.6041661064140498,-0.03955551147737424,,
122,255,999424,1081.61,103.76,3909,0.13639632,0.0003,0.2,1210,-0.5158391883596778,0.34609375,0.742137610912323,0.2708079218864441,1.6236521617276594,-0.041365473147743616,,
,,1000000,,,,0.15543173,0.0003,0.2,1220,-0.5012747839326039,0.3486572265625,0.8150972276926041,0.10133726894855499,1.4175928171724081,-0.04401970563958457,142.2,1357.4
123,255,1007616,1109.18,104.85,3946,,,,,,,,,,,,
124,255,1015808,1137.88,115.23,3977,0.14803973,0.0003,0.2,1230,-0.47374367851298305,0.33603515625,0.811482235789299,0.18869952857494354,1.461598162993323,-0.04065620055444015,,
125,255,1024000,1139.54,116.11,4011,0.14764646,0.0003,0.2,1240,-0.4770424771821126,0.33916015625,0.7924694269895554,2.426795721054077,1.60959391099168,-0.03866644486261066,,
126,255,1032192,1126.2,116.05,4043,0.15657812,0.0003,0.2,1250,-0.48821875497233125,0.33480224609375,0.7269125580787659,0.379111647605896,1.5429300658870488,-0.04058500938408542,,
,,1040000,,,,0.17387512,0.0003,0.2,1260,-0.4844197598285973,0.34666748046875,0.7055535316467285,0.4299132227897644,1.5572139941272325,-0.04253542523438227,163.2,1266.6
127,254,1040384,1149.11,122.05,4080,,,,,,,,,,,,
128,254,1048576,1138.25,118.62,4113,0.16758479,0.0003,0.2,1270,-0.4474838105496019,0.33162841796875,0.7954658567905426,0.1235300749540329,0.9582763922400772,-0.043658968543604716,,
129,255,1056768,1141.6,119.98,4143,0.14934054,0.0003,0.2,1280,-0.45853196054231377,0.32139892578125,0.7457442879676819,0.46687471866607666,1.7764530031709,-0.04125214093000977,,
130,255,1064960,1130.3,117.26,4174,0.16224003,0.0003,0.2,1290,-0.48128705921117215,0.3478271484375,0.7903389781713486,0.1769614815711975,1.43170974975219,-0.04405361976241693,,
131,255,1073152,1125.38,112.45,4204,0.18687092,0.0003,0.2,1300,-0.4843590282602236,0.3551513671875,0.7767371386289597,0.9868962168693542,1.2135682926978917,-0.04681606070807902,,
,,1080000,,,,0.16764,0.0003,0.2,1310,-0.4880969040794298,0.3453125,0.7328163981437683,0.25785088539123535,1.4501485675107688,-0.04365867460510344,154.8,1429.6
132,255,1081344,1147.98,112.63,4240,,,,,,,,,,,,
133,255,1089536,1111.65,98.44,4270,0.1690174,0.0003,0.2,1320,-0.5075261557009071,0.35970458984375,0.6373400688171387,0.15422125160694122,1.5805684843915515,-0.045261095446403485,,
134,255,1097728,1136.98,102.3,4300,0.15883145,0.0003,0.2,1330,-0.5008632369805127,0.3586669921875,0.622555285692215,0.5795180797576904,1.3091695725684986,-0.04388160993621568,,
135,255,1105920,1147.43,105.25,4331,0.15378755,0.0003,0.2,1340,-0.5054683821043,0.351318359375,0.4689842462539673,1.186603307723999,1.8845451558358035,-0.0388800334672851,,
136,255,1114112,1171.13,114.51,4361,0.15222585,0.0003,0.2,1350,-0.5322199670597911,0.3604736328125,0.5476472675800323,0.8375327587127686,1.8377313337870873,-0.04093395809904905,,
,,1120000,,,,0.1625542,0.0003,0.2,1360,-0.5009880511555821,0.35474853515625,0.6018864810466766,0.1613498032093048,1.9503063119831494,-0.038101503311554555,157.2,1389.6
137,255,1122304,1203.95,118.79,4395,,,,,,,,,,,,
138,255,1130496,1223.55,115.9,4425,0.14804995,0.0003,0.2,1370,-0.5143268616404384,0.35556640625,0.6219867765903473,0.6655125617980957,1.6300161101506092,-0.04105090987868607,,
139,255,1138688,1238.02,117.73,4456,0.16602547,0.0003,0.2,1380,-0.5343971213093027,0.37177734375,0.6820053160190582,0.35718899965286255,1.3915061946609057,-0.04410943439179391,,
140,255,1146880,1248.23,111.92,4488,0.1485528,0.0003,0.2,1390,-0.5040185845457017,0.34434814453125,0.6714513301849365,0.9234640002250671,1.6154953359393402,-0.04330206732920487,,
141,255,1155072,1234.54,114.39,4518,0.159103,0.0003,0.2,1400,-0.5105709207709879,0.36146240234375,0.6438431739807129,0.27163460850715637,1.5514240438118576,-0.043681729281524896,,
