time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/explained_variance,train/entropy_loss,train/clip_fraction,train/loss,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/n_updates,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/clip_range,eval/mean_ep_length,eval/mean_reward
1,185,512,2,,,,,,,,,,,,,,
2,258,1024,3,-0.2382967472076416,-1.6077591478824615,0.03515625,0.03882677108049393,254.5,0.0028347694,-0.004327662056311965,4,10.25,0.5969215985387564,0.00025,0.1,,
3,311,1536,4,0.05602830648422241,-1.604887768626213,0.0,0.12429514527320862,254.5,0.0002121341,-7.094279862940311e-05,8,10.25,0.4571896865963936,0.00025,0.1,,
4,347,2048,5,0.1752355694770813,-1.6044760793447495,0.0,0.054420411586761475,260.85714285714283,0.00080924726,-0.001701459870673716,12,10.142857142857142,0.1622080933302641,0.00025,0.1,,
5,375,2560,6,0.10446584224700928,-1.5975556820631027,0.0458984375,0.212079718708992,262.375,0.002821477,-0.0010184801649302244,16,9.625,0.4948985166847706,0.00025,0.1,,
6,393,3072,7,-0.042600035667419434,-1.5889507681131363,0.0,0.08857487887144089,254.58333333333334,0.0006250121,-0.0004510435974225402,20,9.25,0.23039434663951397,0.00025,0.1,,
7,407,3584,8,-0.04512763023376465,-1.5841334611177444,0.0,0.12913136184215546,254.30769230769232,0.0005491286,-0.0004734727554023266,24,9.461538461538462,0.3901936337351799,0.00025,0.1,,
8,418,4096,9,0.26722609996795654,-1.5733064413070679,0.05419921875,0.059082046151161194,251.875,0.003600409,-0.003921094466932118,28,9.375,0.18806293420493603,0.00025,0.1,,
9,429,4608,10,-0.2364276647567749,-1.5480203032493591,0.14501953125,0.12189991772174835,253.0,0.0039139614,-0.0023061548126861453,32,9.444444444444445,0.35969455540180206,0.00025,0.1,,
10,435,5120,11,0.21948719024658203,-1.5319060534238815,0.0322265625,0.18674519658088684,251.2,0.0020318003,-0.0018905922770500183,36,9.45,0.425096120685339,0.00025,0.1,,
11,431,5632,13,0.0462307333946228,-1.5258578807115555,0.0,0.06461986899375916,249.3913043478261,0.0012786057,-0.0008385868277400732,40,9.478260869565217,0.1552765592932701,0.00025,0.1,,
12,435,6144,14,-0.163177490234375,-1.4781053811311722,0.224609375,0.24426813423633575,250.41666666666666,0.002725482,-0.001670034253038466,44,9.75,0.5752837285399437,0.00025,0.1,,
13,440,6656,15,0.106578528881073,-1.5098763853311539,0.16162109375,0.13244707882404327,247.78571428571428,0.003589685,-0.006115838885307312,48,9.714285714285714,0.31458863243460655,0.00025,0.1,,
14,445,7168,16,0.1834983229637146,-1.5164304822683334,0.001953125,0.1281813532114029,246.06666666666666,0.0013746871,-0.0010285216849297285,52,9.6,0.2725222259759903,0.00025,0.1,,
15,450,7680,17,0.23055320978164673,-1.5030894428491592,0.04736328125,0.17592494189739227,244.25,0.002176091,-0.004074764437973499,56,9.46875,0.46257198601961136,0.00025,0.1,,
16,451,8192,18,-0.17222070693969727,-1.5165148377418518,0.09765625,0.11792480200529099,244.41176470588235,0.0032544495,-0.0024866542080417275,60,9.705882352941176,0.2857430372387171,0.00025,0.1,,
17,448,8704,19,-0.08635103702545166,-1.5021777600049973,0.03271484375,0.36192065477371216,246.0,0.00089198747,-0.0009366057347506285,64,9.916666666666666,0.7533546909689903,0.00025,0.1,,
18,449,9216,20,0.03189539909362793,-1.499376356601715,0.01416015625,0.24153313040733337,245.26315789473685,0.001115695,-0.0014426724519580603,68,10.0,0.54584651440382,0.00025,0.1,,
19,449,9728,21,0.06402808427810669,-1.5033494681119919,0.04638671875,0.1719811111688614,243.73809523809524,0.00234901,-0.0022285435115918517,72,10.047619047619047,0.39591819420456886,0.00025,0.1,,
20,448,10240,22,-0.10450005531311035,-1.4985282719135284,0.0009765625,0.17040622234344482,243.11627906976744,0.00066863373,0.0005680264439433813,76,10.046511627906977,0.4053409472107887,0.00025,0.1,,
21,452,10752,23,0.13738471269607544,-1.4989315867424011,0.0,0.17167173326015472,243.3695652173913,0.00047418778,-0.0007846502121537924,80,10.08695652173913,0.4002264775335789,0.00025,0.1,,
22,457,11264,24,0.10980331897735596,-1.4850903898477554,0.1162109375,0.26976338028907776,242.91836734693877,0.0034840168,-0.0016093315207399428,84,10.244897959183673,0.5202895738184452,0.00025,0.1,,
23,461,11776,25,0.19908523559570312,-1.4779337644577026,0.005859375,0.26716557145118713,242.52,0.0009622432,-0.00034283276181668043,88,10.26,0.6337955147027969,0.00025,0.1,,
24,465,12288,26,0.415414035320282,-1.4977894127368927,0.01611328125,0.07474230229854584,241.67924528301887,0.00020824024,-0.0007233369396999478,92,10.18867924528302,0.2126827146857977,0.00025,0.1,,
25,468,12800,27,0.2503693103790283,-1.514278993010521,0.0205078125,0.11518824845552444,242.09259259259258,0.00080329576,-0.0012981314794160426,96,10.222222222222221,0.2865447197109461,0.00025,0.1,,
26,471,13312,28,0.32079821825027466,-1.5082972943782806,0.01123046875,0.14215944707393646,241.25862068965517,0.0018251984,-0.0028178219217807055,100,10.258620689655173,0.3867597281932831,0.00025,0.1,,
27,473,13824,29,0.14283114671707153,-1.4762103855609894,0.26025390625,0.2424614131450653,240.86885245901638,0.0036090733,-0.0030356814386323094,104,10.360655737704919,0.5247463583946228,0.00025,0.1,,
28,475,14336,30,0.3141111135482788,-1.474649116396904,0.02734375,0.14591172337532043,240.93548387096774,0.0018702443,-0.0012286392448004335,108,10.403225806451612,0.37059712409973145,0.00025,0.1,,
29,476,14848,31,0.375049889087677,-1.4623751938343048,0.0,0.122762031853199,240.23076923076923,0.0008154245,-0.0010834714630618691,112,10.36923076923077,0.3010241612792015,0.00025,0.1,,
30,476,15360,32,0.33271610736846924,-1.474537506699562,0.01611328125,0.12499804049730301,240.55882352941177,8.3783874e-05,0.000441244977992028,116,10.485294117647058,0.3136957138776779,0.00025,0.1,,
31,477,15872,33,0.24770551919937134,-1.4623421430587769,0.0146484375,0.17804600298404694,240.52173913043478,0.00045950257,0.00019178621005266905,120,10.492753623188406,0.41036854684352875,0.00025,0.1,,
32,479,16384,34,0.4489453434944153,-1.4730913937091827,0.0205078125,0.1711549162864685,239.86301369863014,0.0012668124,-0.0009674930479377508,124,10.534246575342467,0.35309045016765594,0.00025,0.1,,
33,480,16896,35,0.35522782802581787,-1.4542131125926971,0.0458984375,0.18620213866233826,239.36486486486487,0.0025089863,-0.0026801112107932568,128,10.5,0.4916624315083027,0.00025,0.1,,
34,481,17408,36,0.4177059531211853,-1.4424013644456863,0.02392578125,0.18148869276046753,238.80519480519482,0.0014562564,3.1545525416731834e-05,132,10.480519480519481,0.4107785262167454,0.00025,0.1,,
35,482,17920,37,0.11356598138809204,-1.4289609342813492,0.00390625,0.3152099847793579,238.8375,0.0008906794,-0.001046709658112377,136,10.675,0.7728437185287476,0.00025,0.1,,
36,482,18432,38,0.2312936782836914,-1.3845372945070267,0.1240234375,0.4175131916999817,239.0,0.003261152,-0.004059065715409815,140,10.75609756097561,0.987681195139885,0.00025,0.1,,
37,482,18944,39,0.4257373809814453,-1.370928794145584,0.07958984375,0.1359468698501587,238.1764705882353,0.0034909635,-0.0018163862405344844,144,10.694117647058823,0.37119153141975403,0.00025,0.1,,
38,483,19456,40,0.5988567769527435,-1.3755825459957123,0.0419921875,0.09279011189937592,237.75862068965517,0.0010593527,-0.001008601684588939,148,10.689655172413794,0.2736622020602226,0.00025,0.1,,
39,484,19968,41,0.6027002930641174,-1.3336009234189987,0.033203125,0.138810396194458,237.7078651685393,0.0011138121,0.0005747203249484301,152,10.752808988764045,0.35206012055277824,0.00025,0.1,,
40,484,20480,42,0.35309064388275146,-1.3594884127378464,0.05517578125,0.3494298756122589,237.92391304347825,0.0037979626,-0.0006301891407929361,156,10.880434782608695,0.836709052324295,0.00025,0.1,,
41,484,20992,43,0.09711909294128418,-1.4212751239538193,0.0107421875,0.32035452127456665,237.88297872340425,0.000829707,-0.00021228182595223188,160,10.946808510638299,0.8511579260230064,0.00025,0.1,,
42,484,21504,44,0.3740653991699219,-1.4202926605939865,0.04736328125,0.3106808662414551,237.44329896907217,0.0028040134,-0.002740062423981726,164,10.958762886597938,0.5929919108748436,0.00025,0.1,,
43,486,22016,45,0.34649890661239624,-1.4117425978183746,0.01708984375,0.20698189735412598,237.62626262626262,0.0009544585,-0.0010163808474317193,168,11.04040404040404,0.5060287676751614,0.00025,0.1,,
44,487,22528,46,0.23339295387268066,-1.3858272731304169,0.00390625,0.2687399983406067,237.89,0.0008816748,-0.0001624824944883585,172,11.14,0.6686420738697052,0.00025,0.1,,
45,487,23040,47,0.18984907865524292,-1.4083915203809738,0.0244140625,0.2365151047706604,236.57,0.0015171998,-0.0015587477246299386,176,11.13,0.5740648508071899,0.00025,0.1,,
46,487,23552,48,0.33060240745544434,-1.375466302037239,0.01318359375,0.30379560589790344,236.67,0.0008727615,-0.0007046885439194739,180,11.16,0.6571581214666367,0.00025,0.1,,
47,488,24064,49,0.28589820861816406,-1.4209336638450623,0.09619140625,0.15052200853824615,235.18,0.0024428319,-0.0008381958468817174,184,11.26,0.3978367820382118,0.00025,0.1,,
48,488,24576,50,0.37626051902770996,-1.3611530363559723,0.1884765625,0.15060214698314667,234.86,0.0043249037,-0.0025030270917341113,188,11.3,0.41887929663062096,0.00025,0.1,,
49,489,25088,51,0.6090228259563446,-1.416022077202797,0.25048828125,0.12379997968673706,234.34,0.006723237,-0.0016637579537928104,192,11.28,0.34960871934890747,0.00025,0.1,,
50,490,25600,52,0.4237632751464844,-1.4109077453613281,0.10107421875,0.07784448564052582,234.11,0.004784894,-0.004797905799932778,196,11.38,0.28199686482548714,0.00025,0.1,,
51,491,26112,53,0.6340821087360382,-1.3641735166311264,0.09326171875,0.19330009818077087,233.57,0.004153393,-0.0008322624489665031,200,11.4,0.43243229389190674,0.00025,0.1,,
52,491,26624,54,0.014267385005950928,-1.344603568315506,0.01513671875,0.4436599910259247,233.91,0.0023876587,0.0008609622018411756,204,11.63,1.3890947252511978,0.00025,0.1,,
53,492,27136,55,0.469998300075531,-1.4249524474143982,0.00341796875,0.11793721467256546,234.28,0.00025096326,0.0001216852106153965,208,11.74,0.3444630354642868,0.00025,0.1,,
54,492,27648,56,0.1295478343963623,-1.3840240240097046,0.06689453125,0.3305155038833618,234.38,0.0011136124,-0.0013291004579514265,212,11.85,0.781255878508091,0.00025,0.1,,
55,492,28160,57,0.3634316325187683,-1.4199405163526535,0.0478515625,0.11978320777416229,234.25,0.001153039,-0.0008076690137386322,216,11.87,0.3279414102435112,0.00025,0.1,,
56,492,28672,58,0.4700373411178589,-1.3709055334329605,0.08447265625,0.23560366034507751,234.5,0.0024902422,0.000754963606595993,220,11.94,0.509302593767643,0.00025,0.1,,
57,493,29184,59,0.5522615909576416,-1.3436099290847778,0.072265625,0.1624724268913269,234.74,0.0044518667,-0.0023713468108326197,224,12.12,0.33927012234926224,0.00025,0.1,,
58,494,29696,60,0.2519361972808838,-1.2591534107923508,0.09912109375,0.3918699324131012,234.73,0.0040297518,-0.0012861255090683699,228,12.11,0.9500794932246208,0.00025,0.1,,
59,495,30208,60,0.4786113500595093,-1.2980268150568008,0.03466796875,0.2955380380153656,234.15,0.0039424766,0.0017768123652786016,232,12.16,0.71302580088377,0.00025,0.1,,
60,496,30720,61,0.294403076171875,-1.3000261932611465,0.0263671875,0.44234490394592285,234.32,0.002536846,-0.001670618774369359,236,12.18,0.9146606847643852,0.00025,0.1,,
61,497,31232,62,0.6613107323646545,-1.2649644613265991,0.0556640625,0.22165650129318237,234.56,0.0025454382,-0.0005600879667326808,240,12.27,0.44541560858488083,0.00025,0.1,,
62,497,31744,63,0.16503828763961792,-1.1830204725265503,0.0673828125,0.7026504874229431,235.35,0.0011896343,0.00016572687309235334,244,12.47,1.6557609140872955,0.00025,0.1,,
63,498,32256,64,0.4115123748779297,-1.2703154385089874,0.03369140625,0.2708764374256134,234.81,0.00028424896,-2.1349580492824316e-05,248,12.51,0.6117009371519089,0.00025,0.1,,
64,499,32768,65,0.35514938831329346,-1.2888457477092743,0.1103515625,0.41498661041259766,234.81,0.0031425026,-0.0028315918752923608,252,12.51,1.0067367851734161,0.00025,0.1,,
65,500,33280,66,0.23822152614593506,-1.326963171362877,0.0341796875,0.2283037304878235,235.04,0.0008333393,-0.0002587039489299059,256,12.5,0.5205896906554699,0.00025,0.1,,
66,501,33792,67,0.6162576675415039,-1.311278611421585,0.01513671875,0.18417298793792725,235.04,0.00023367035,0.0012936907587572932,260,12.5,0.4073062129318714,0.00025,0.1,,
67,501,34304,68,0.3660953640937805,-1.245434358716011,0.07568359375,0.404939204454422,234.75,0.002942308,-0.0018828015308827162,264,12.65,0.8515896275639534,0.00025,0.1,,
68,502,34816,69,0.3760964870452881,-1.279104933142662,0.04345703125,0.10549982637166977,234.66,0.00041874405,0.000259932829067111,268,12.62,0.2836600337177515,0.00025,0.1,,
