time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length,train/loss,train/learning_rate,train/n_updates
0,4,501,128,0.9996959999999997,,,,,,,
0,8,527,180,0.9995725000000004,,,,,,,
0,12,533,264,0.999373,,,,,,,
0,16,529,424,0.9989929999999996,7.0,403.25,,,,,
1,20,545,564,0.9986605000000005,7.0,403.25,,,,,
1,24,549,620,0.9985274999999998,7.0,403.25,,,,,
1,28,547,728,0.9982709999999999,7.0,403.25,,,,,
1,32,546,860,0.9979575000000004,7.625,431.375,,,,,
1,36,553,976,0.9976819999999998,7.625,431.375,,,,,
1,40,553,1020,0.9975775,7.625,431.375,,,,,
1,44,554,1076,0.9974445000000003,7.625,431.375,,,,,
2,48,553,1240,0.9970549999999997,7.416666666666667,414.5,,,,,
2,52,555,1312,0.9968840000000001,7.416666666666667,414.5,,,,,
2,56,555,1448,0.9965610000000003,7.230769230769231,411.7692307692308,,,,,
2,60,554,1528,0.9963710000000001,7.230769230769231,411.7692307692308,,,,,
2,64,553,1596,0.9962094999999996,7.285714285714286,409.92857142857144,,,,,
3,68,554,1760,0.99582,7.3125,424.8125,,,,,
3,72,556,1856,0.9955919999999998,7.294117647058823,422.6470588235294,,,,,
3,76,557,1944,0.9953830000000001,7.294117647058823,422.6470588235294,,,,,
3,80,553,1988,0.9952785000000003,7.2105263157894735,414.3157894736842,,,,,
3,84,553,2112,0.9949840000000003,7.2105263157894735,414.3157894736842,,,,,
4,88,554,2240,0.99468,7.25,417.25,,,,,
4,92,555,2320,0.9944899999999998,7.333333333333333,422.57142857142856,,,,,
4,96,550,2464,0.9941480000000005,7.208333333333333,420.4583333333333,,,,,
4,100,551,2568,0.9939009999999997,7.208333333333333,420.4583333333333,,,,,
4,104,551,2616,0.9937869999999995,7.208333333333333,420.4583333333333,,,,,
4,108,551,2704,0.9935779999999999,7.16,415.84,,,,,
5,112,550,2836,0.9932645000000004,7.148148148148148,419.4074074074074,,,,,
5,116,550,2960,0.9929700000000004,7.178571428571429,423.5357142857143,,,,,
5,120,550,3124,0.9925804999999998,7.137931034482759,424.13793103448273,,,,,
5,124,551,3240,0.9923050000000002,7.137931034482759,424.13793103448273,,,,,
6,128,552,3356,0.9920294999999997,7.1,427.9,,,,,
6,132,552,3476,0.9917444999999999,7.0625,439.71875,,,,,
6,136,552,3576,0.9915070000000005,7.151515151515151,439.72727272727275,,,,,
6,140,552,3656,0.9913170000000003,7.151515151515151,439.72727272727275,,,,,
6,144,552,3760,0.9910699999999996,7.147058823529412,437.6470588235294,,,,,
7,148,553,3904,0.9907280000000003,7.194444444444445,438.69444444444446,,,,,
7,152,553,4000,0.9905,7.194444444444445,438.69444444444446,,,,,
7,156,553,4104,0.9902530000000003,7.1891891891891895,442.2432432432432,,,,,
7,160,554,4252,0.9899014999999997,7.153846153846154,443.4102564102564,,,,,
7,164,553,4360,0.9896449999999997,7.153846153846154,443.4102564102564,,,,,
8,168,551,4472,0.9893790000000005,7.195121951219512,446.0975609756098,,,,,
8,172,551,4608,0.9890559999999996,7.261904761904762,444.92857142857144,,,,,
8,176,552,4692,0.9888565000000002,7.261904761904762,444.92857142857144,,,,,
8,180,551,4764,0.9886854999999994,7.232558139534884,445.3488372093023,,,,,
8,184,550,4844,0.9884955000000004,7.204545454545454,444.1818181818182,,,,,
8,188,550,4944,0.9882579999999999,7.195652173913044,443.8478260869565,,,,,
9,192,551,5100,0.9878874999999998,7.170212765957447,441.02127659574467,,,,,
9,196,551,5148,0.9877734999999996,7.170212765957447,441.02127659574467,,,,,
9,200,553,5356,0.9872795000000002,7.166666666666667,441.375,,,,,
9,204,553,5480,0.9869850000000002,7.204081632653061,443.0,,,,,
10,208,553,5576,0.986757,7.22,448.14,,,,,
10,212,553,5648,0.9865860000000003,7.3076923076923075,449.28846153846155,,,,,
10,216,553,5772,0.9862915000000003,7.339622641509434,447.64150943396226,,,,,
10,220,553,5864,0.9860730000000003,7.314814814814815,444.77777777777777,,,,,
10,224,552,5912,0.9859590000000003,7.314814814814815,444.77777777777777,,,,,
10,228,552,6004,0.9857405000000002,7.290909090909091,443.3818181818182,,,,,
11,232,553,6184,0.9853129999999996,7.321428571428571,442.7857142857143,,,,,
11,236,552,6244,0.9851704999999997,7.344827586206897,446.5344827586207,,,,,
11,240,552,6400,0.9847999999999996,7.322033898305085,446.0508474576271,,,,,
11,244,553,6532,0.9844865,7.322033898305085,446.0508474576271,,,,,
11,248,552,6620,0.9842775000000004,7.262295081967213,445.1967213114754,,,,,
12,252,552,6748,0.9839735000000001,7.354838709677419,448.241935483871,,,,,
12,256,553,6832,0.9837739999999996,7.349206349206349,448.1587301587302,,,,,
12,260,552,6912,0.9835840000000005,7.349206349206349,448.1587301587302,,,,,
12,264,553,7028,0.9833084999999999,7.34375,447.171875,,,,,
12,268,553,7124,0.9830804999999997,7.333333333333333,447.54545454545456,,,,,
13,272,552,7236,0.9828145000000005,7.313432835820896,446.85074626865674,,,,,
13,276,552,7324,0.9826054999999998,7.313432835820896,446.85074626865674,,,,,
13,280,552,7404,0.9824154999999996,7.338235294117647,444.69117647058823,,,,,
13,284,553,7556,0.9820544999999997,7.3,445.01428571428573,,,,,
13,288,553,7660,0.9818075,7.28169014084507,444.16901408450707,,,,,
13,292,554,7736,0.9816270000000001,7.28169014084507,444.16901408450707,,,,,
14,296,554,7864,0.9813229999999998,7.305555555555555,445.375,,,,,
