Model,Steps,BestMeanReward,ClockTime
ppo,40000,4.6,2023-04-21 08:26:06.264152
ppo,120000,5.8,2023-04-21 08:30:12.548730
ppo,160000,6.0,2023-04-21 08:32:09.143466
ppo,200000,12.0,2023-04-21 08:34:06.536494
ppo,240000,18.2,2023-04-21 08:36:02.229663
ppo,280000,30.0,2023-04-21 08:38:04.573038
ppo,360000,33.4,2023-04-21 08:42:02.544383
ppo,400000,56.2,2023-04-21 08:44:01.911102
ppo,440000,59.2,2023-04-21 08:45:59.586446
ppo,480000,68.0,2023-04-21 08:47:56.787711
ppo,520000,70.4,2023-04-21 08:49:55.547397
ppo,600000,107.6,2023-04-21 08:53:51.657373
ppo,640000,108.6,2023-04-21 08:55:46.020007
ppo,680000,128.8,2023-04-21 08:57:41.337339
ppo,720000,145.8,2023-04-21 08:59:35.652830
ppo,1000000,167.8,2023-04-21 09:13:02.336827
ppo,1040000,187.0,2023-04-21 09:14:56.244524
ppo,1280000,201.6,2023-04-21 09:26:26.283315
ppo,1320000,221.8,2023-04-21 09:28:23.465013
ppo,1720000,224.2,2023-04-21 09:47:33.696934
ppo,1840000,254.8,2023-04-21 09:53:15.728553
ppo,1920000,291.2,2023-04-21 09:57:08.276929
ppo,2240000,292.0,2023-04-21 10:12:40.715172
ppo,2760000,326.8,2023-04-21 10:37:53.233170
ppo,2840000,370.2,2023-04-21 10:41:46.370980
ppo,3360000,378.0,2023-04-21 11:06:58.981635
ppo,3760000,405.2,2023-04-21 11:26:15.318123
ppo,4400000,465.0,2023-04-21 11:57:26.068285
ppo,4520000,481.2,2023-04-21 12:03:20.661836
ppo,6640000,515.0,2023-04-21 13:47:28.064508
ppo,7040000,518.2,2023-04-21 14:07:27.290476
ppo,7080000,519.8,2023-04-21 14:09:24.063528
ppo,7240000,540.4,2023-04-21 14:17:32.917155
ppo,7520000,612.4,2023-04-21 14:31:30.835958
ppo,7640000,659.0,2023-04-21 14:37:29.774485
ppo,9000000,668.6,2023-04-21 15:43:49.857791
