Model,Steps,BestMeanReward
a2c,40000,7.6
a2c,80000,19.2
a2c,120000,30.8
a2c,160000,35.4
a2c,200000,39.8
a2c,280000,40.2
a2c,360000,43.0
a2c,440000,45.6
a2c,480000,47.2
a2c,520000,48.4
a2c,600000,50.8
a2c,640000,64.8
a2c,800000,84.0
a2c,840000,98.2
a2c,1240000,123.2
a2c,1360000,148.2
a2c,1600000,148.4
a2c,1680000,180.8
a2c,1800000,187.4
a2c,1920000,217.2
a2c,2320000,233.4
a2c,2400000,284.6
a2c,3440000,343.0
a2c,3840000,370.4
a2c,3880000,371.6
a2c,3960000,413.6
